Q1,Q2,Q3,Q4,Class
405,349,605,608,ALCHOOL
404,352,602,618,ALCHOOL
404,359,596,630,ALCHOOL
404,365,593,643,ALCHOOL
403,363,592,642,ALCHOOL
401,358,587,633,ALCHOOL
399,352,582,622,ALCHOOL
398,350,581,618,ALCHOOL
399,355,584,637,ALCHOOL
398,357,588,643,ALCHOOL
398,356,590,647,ALCHOOL
398,355,590,647,ALCHOOL
398,351,588,644,ALCHOOL
395,348,585,635,ALCHOOL
395,347,580,632,ALCHOOL
396,349,580,637,ALCHOOL
396,350,581,643,ALCHOOL
395,349,580,641,ALCHOOL
394,347,577,638,ALCHOOL
394,348,579,642,ALCHOOL
395,355,582,659,ALCHOOL
396,358,586,666,ALCHOOL
396,360,595,678,ALCHOOL
403,400,624,743,ALCHOOL
406,421,638,774,ALCHOOL
408,428,652,781,ALCHOOL
413,454,669,805,ALCHOOL
417,475,686,821,ALCHOOL
422,497,706,839,ALCHOOL
423,493,715,834,ALCHOOL
420,472,713,812,ALCHOOL
415,444,697,767,ALCHOOL
411,416,677,713,ALCHOOL
407,399,661,681,ALCHOOL
406,392,650,669,ALCHOOL
405,391,644,671,ALCHOOL
404,392,646,684,ALCHOOL
404,397,655,710,ALCHOOL
405,401,656,722,ALCHOOL
406,405,653,728,ALCHOOL
407,414,653,738,ALCHOOL
411,435,658,759,ALCHOOL
412,441,670,776,ALCHOOL
412,439,679,779,ALCHOOL
413,442,679,778,ALCHOOL
414,444,680,776,ALCHOOL
415,446,682,775,ALCHOOL
415,448,686,777,ALCHOOL
415,446,685,773,ALCHOOL
414,446,682,768,ALCHOOL
415,451,684,771,ALCHOOL
417,456,689,780,ALCHOOL
417,454,689,779,ALCHOOL
416,447,686,770,ALCHOOL
415,445,683,766,ALCHOOL
415,448,685,769,ALCHOOL
416,452,689,775,ALCHOOL
417,454,691,777,ALCHOOL
417,456,691,776,ALCHOOL
419,461,692,778,ALCHOOL
419,466,695,784,ALCHOOL
418,463,699,785,ALCHOOL
417,452,694,771,ALCHOOL
414,435,685,749,ALCHOOL
413,427,676,736,ALCHOOL
414,435,676,745,ALCHOOL
415,440,681,762,ALCHOOL
413,435,682,762,ALCHOOL
412,425,675,746,ALCHOOL
410,415,666,726,ALCHOOL
407,405,656,705,ALCHOOL
406,397,651,691,ALCHOOL
406,398,649,698,ALCHOOL
405,395,644,693,ALCHOOL
405,395,651,704,ALCHOOL
408,413,685,750,ALCHOOL
416,473,731,837,ALCHOOL
418,479,741,844,ALCHOOL
414,450,719,792,ALCHOOL
413,437,701,754,ALCHOOL
410,426,692,734,ALCHOOL
410,425,686,731,ALCHOOL
411,427,683,735,ALCHOOL
411,424,679,732,ALCHOOL
410,417,674,725,ALCHOOL
409,412,667,717,ALCHOOL
408,411,660,712,ALCHOOL
409,412,657,714,ALCHOOL
408,417,655,719,ALCHOOL
412,431,661,741,ALCHOOL
412,440,668,757,ALCHOOL
414,446,672,764,ALCHOOL
416,451,678,770,ALCHOOL
416,446,680,770,ALCHOOL
415,442,677,765,ALCHOOL
414,431,672,751,ALCHOOL
413,423,667,741,ALCHOOL
411,425,666,742,ALCHOOL
412,428,666,748,ALCHOOL
412,433,668,752,ALCHOOL
412,434,669,753,ALCHOOL
413,434,669,750,ALCHOOL
411,428,666,741,ALCHOOL
409,415,658,722,ALCHOOL
407,405,646,700,ALCHOOL
404,396,639,686,ALCHOOL
405,395,634,683,ALCHOOL
405,393,629,679,ALCHOOL
403,387,624,671,ALCHOOL
402,381,617,663,ALCHOOL
399,375,611,658,ALCHOOL
399,372,606,652,ALCHOOL
399,369,601,643,ALCHOOL
399,367,599,642,ALCHOOL
398,364,596,643,ALCHOOL
397,362,593,642,ALCHOOL
397,360,588,639,ALCHOOL
396,362,586,642,ALCHOOL
397,365,587,649,ALCHOOL
397,368,587,656,ALCHOOL
397,367,584,655,ALCHOOL
396,365,581,650,ALCHOOL
395,363,579,646,ALCHOOL
395,361,577,643,ALCHOOL
395,364,577,649,ALCHOOL
397,368,580,661,ALCHOOL
396,367,583,665,ALCHOOL
397,367,582,666,ALCHOOL
396,365,581,665,ALCHOOL
395,363,579,662,ALCHOOL
395,360,575,655,ALCHOOL
395,356,570,646,ALCHOOL
394,351,566,639,ALCHOOL
394,349,562,634,ALCHOOL
392,346,558,629,ALCHOOL
392,344,555,627,ALCHOOL
392,343,551,623,ALCHOOL
392,342,549,622,ALCHOOL
391,342,548,624,ALCHOOL
391,343,549,627,ALCHOOL
391,343,549,629,ALCHOOL
391,343,550,632,ALCHOOL
391,344,550,632,ALCHOOL
391,343,549,632,ALCHOOL
390,341,549,634,ALCHOOL
390,340,546,629,ALCHOOL
389,337,541,622,ALCHOOL
389,335,537,617,ALCHOOL
389,334,534,614,ALCHOOL
389,333,531,611,ALCHOOL
388,330,528,607,ALCHOOL
388,328,524,601,ALCHOOL
387,324,521,596,ALCHOOL
387,323,518,593,ALCHOOL
386,320,514,589,ALCHOOL
386,317,509,579,ALCHOOL
386,322,511,593,ALCHOOL
391,357,541,675,ALCHOOL
397,399,582,753,ALCHOOL
404,427,607,786,ALCHOOL
407,432,610,795,ALCHOOL
420,499,639,847,ALCHOOL
429,531,678,881,ALCHOOL
426,505,677,853,ALCHOOL
420,473,666,803,ALCHOOL
415,448,666,775,ALCHOOL
410,426,668,747,ALCHOOL
408,409,654,720,ALCHOOL
404,394,638,690,ALCHOOL
402,381,624,664,ALCHOOL
399,372,612,647,ALCHOOL
398,369,604,645,ALCHOOL
398,369,600,647,ALCHOOL
398,369,595,647,ALCHOOL
397,368,592,649,ALCHOOL
397,369,591,653,ALCHOOL
397,371,593,662,ALCHOOL
397,373,599,674,ALCHOOL
397,375,603,681,ALCHOOL
399,383,606,693,ALCHOOL
400,397,610,713,ALCHOOL
401,402,618,723,ALCHOOL
402,407,626,734,ALCHOOL
403,411,632,747,ALCHOOL
403,408,629,740,ALCHOOL
403,406,629,738,ALCHOOL
403,409,632,744,ALCHOOL
405,416,637,753,ALCHOOL
405,421,640,756,ALCHOOL
406,424,642,755,ALCHOOL
407,425,644,753,ALCHOOL
